arrival_time (miliseconds),buffer_type,buffer_capacity

0,c1_ws1,1

0,c2_ws2,1

453,c1_ws1,0

2418,c3_ws3,1

4258,c1_ws1,1

4877,c1_ws1,0

7421,c3_ws3,2

16933,c1_ws1,1

20005,c1_ws1,0

20786,c1_ws1,1

26267,c1_ws2,1

26643,c1_ws2,0

26643,c2_ws2,0

26724,c1_ws1,0

35317,c1_ws1,1

35618,c1_ws1,0

38458,c1_ws1,1

38822,c1_ws1,0

44465,c1_ws1,1

47266,c1_ws1,0

54625,c1_ws1,1

58044,c1_ws1,0

64953,c1_ws1,1

67259,c1_ws1,0

69543,c1_ws1,1

71192,c1_ws1,0

73559,c1_ws1,1

76360,c1_ws1,0

82065,c1_ws1,1

84056,c1_ws1,0

96546,c1_ws1,1

99783,c1_ws1,0

116656,c1_ws1,1

122016,c1_ws1,0

143554,c1_ws1,1

143888,c1_ws2,1

144030,c1_ws1,0

145526,c1_ws1,1

148276,c1_ws1,0

149272,c1_ws1,1

150012,c1_ws1,2

151861,c1_ws1,1

152848,c1_ws1,0

161955,c1_ws1,1

165347,c1_ws1,2

169103,c1_ws1,1

183658,c1_ws1,2

185706,c1_ws1,1

191775,c1_ws1,0

196858,c1_ws1,1

202270,c1_ws1,2

203719,c1_ws1,1

206891,c1_ws1,2

212592,c1_ws1,1

213986,c1_ws1,2

219398,c1_ws3,1

221332,c1_ws2,2

230683,c1_ws3,2

238932,c1_ws1,1

239365,c1_ws1,2

240605,c1_ws3,1

240605,c3_ws3,1

240605,c2_ws2,1

241299,c1_ws3,2

243034,c1_ws1,1

246059,c1_ws3,1

246059,c3_ws3,0

246436,c1_ws2,1

246436,c2_ws2,0

265754,c1_ws1,2

266119,c1_ws1,1

266494,c1_ws1,2

268080,c1_ws2,2

270066,c1_ws1,1

271532,c3_ws3,1

272000,c1_ws1,0

274620,c2_ws2,1

277652,c1_ws3,0

277652,c3_ws3,0

