arrival_time (minutes),p1 throughput,p2 throughput,p3 throughput
0,0,0,0
0,0,0,0
14.60315655641208110182560631,0,0,0
14.60315655641208110182560631,0,0,0
34.48243141507721531979768770,0,0,0
34.48243141507721531979768770,0,0,0
34.48243141507721531979768770,0,0,0
66.25769388327494269219641865,0,0,0
66.25769388327494269219641865,0,0,0
66.25769388327494269219641865,0,0,0
66.71394724600647474499481860,0,0,0
66.71394724600647474499481860,0,0,0
67.85901899989321883754911369,0,0,0
67.85901899989321883754911369,0,0,0
76.32281648388260919535497351,0,0,0
76.32281648388260919535497351,0,0,0
78.85902882971903615771935847,1,0,0
78.85902882971903615771935847,1,0,0
79.69353349694327370844604275,1,0,0
79.69353349694327370844604275,1,0,0
82.25341335108239348983261152,1,0,0
82.25341335108239348983261152,1,0,0
82.54748719615390906145790950,1,0,0
82.54748719615390906145790950,1,0,0
83.81231808152929096955574550,1,0,0
83.81231808152929096955574550,1,0,0
83.81231808152929096955574550,1,0,0
83.97074337806501875824949366,1,0,1
83.97074337806501875824949366,1,0,1
89.19702467703082116035062654,1,0,1
89.19702467703082116035062654,1,0,1
89.60402016890363396939278573,2,0,1
89.60402016890363396939278573,2,0,1
97.34204151440699670505551921,2,0,1
97.34204151440699670505551921,2,0,1
110.3307559476111837648559799,2,0,1
110.3307559476111837648559799,2,0,1
113.3926366316824522195716440,2,0,1
113.3926366316824522195716440,2,0,1
115.3612330030381899481639607,3,0,1
115.3612330030381899481639607,3,0,1
124.6502131771735278897850207,3,0,1
124.6502131771735278897850207,3,0,1
127.3677385361223810544828439,3,0,1
127.3677385361223810544828439,3,0,1
134.2064492857559742100548305,4,0,1
134.2064492857559742100548305,4,0,1
136.7630814099111142834175326,4,0,1
136.7630814099111142834175326,4,0,1
140.5087146302314662360544162,4,1,1
140.5087146302314662360544162,4,1,1
147.2296423170658588031045611,4,1,1
147.2296423170658588031045611,4,1,1
152.6811853717619607007094373,4,2,1
152.6811853717619607007094373,4,2,1
154.6666889885310626207015615,4,2,1
154.6666889885310626207015615,4,2,1
161.9369934211038449811681515,5,2,1
161.9369934211038449811681515,5,2,1
162.5224807009095236987050724,5,2,1
162.5224807009095236987050724,5,2,1
168.7600436477710648119909819,5,2,1
168.7600436477710648119909819,5,2,1
170.1251768880106876036251150,6,2,1
170.1251768880106876036251150,6,2,1
178.3263111661644977345986262,6,2,1
178.3263111661644977345986262,6,2,1
